State,City,Year,Month,Day,Store type,Price per kilogram
Puebla,ZM Puebla,2007,1,12,Mom and Pop Store,
Querétaro,Querétaro,2007,1,12,Mom and Pop Store,9.0
Quintana Roo,Cancún,2007,1,12,Mom and Pop Store,10.0
Quintana Roo,Chetumal,2007,1,12,Mom and Pop Store,11.8
San Luis Potosí,San Luis Potosí,2007,1,12,Mom and Pop Store,8.8
Sinaloa,Culiacán,2007,1,12,Mom and Pop Store,9.0
Sonora,Cd. Obregón,2007,1,12,Mom and Pop Store,11.2
Sonora,Hermosillo,2007,1,12,Mom and Pop Store,11.4
Sonora,Nogales,2007,1,12,Mom and Pop Store,
Tabasco,Villahermosa,2007,1,12,Mom and Pop Store,11.5
Tamaulipas,Cd. Victoria,2007,1,12,Mom and Pop Store,8.6
Tamaulipas,Matamoros,2007,1,12,Mom and Pop Store,9.8
Tamaulipas,Nuevo Laredo,2007,1,12,Mom and Pop Store,9.4
Tamaulipas,Reynosa,2007,1,12,Mom and Pop Store,10.02
Tamaulipas,Tampico,2007,1,12,Mom and Pop Store,
Tlaxcala,Tlaxcala,2007,1,12,Mom and Pop Store,8.2
Veracruz,Coatzacoalcos,2007,1,12,Mom and Pop Store,9.75
Veracruz,Poza Rica,2007,1,12,Mom and Pop Store,9.5
Veracruz,Veracruz,2007,1,12,Mom and Pop Store,9.7
Veracruz,Xalapa,2007,1,12,Mom and Pop Store,8.6
Yucatán,Mérida,2007,1,12,Mom and Pop Store,9.0
Zacatecas,Zacatecas,2007,1,12,Mom and Pop Store,8.4
Aguascalientes,Aguascalientes,2007,1,15,Mom and Pop Store,9.9
Baja California,Mexicali,2007,1,15,Mom and Pop Store,
Baja California,Tijuana,2007,1,15,Mom and Pop Store,10.0
Baja California Sur,La Paz,2007,1,15,Mom and Pop Store,10.0
Campeche,Campeche,2007,1,15,Mom and Pop Store,10.0
Coahuila,Piedras Negras,2007,1,15,Mom and Pop Store,9.5
Coahuila,Saltillo,2007,1,15,Mom and Pop Store,
Colima,Colima,2007,1,15,Mom and Pop Store,9.8
Chiapas,Tapachula,2007,1,15,Mom and Pop Store,
Chiapas,Tuxtla Gutiérrez,2007,1,15,Mom and Pop Store,9.2
Chihuahua,Chihuahua,2007,1,15,Mom and Pop Store,10.0
Chihuahua,Cd. Juárez,2007,1,15,Mom and Pop Store,
D.F.,D.F.,2007,1,15,Mom and Pop Store,9.2
D.F.,ZM D.F.,2007,1,15,Mom and Pop Store,7.33
Durango,Durango,2007,1,15,Mom and Pop Store,7.5
Durango,Gómez Palacio,2007,1,15,Mom and Pop Store,
Guanajuato,Irapuato,2007,1,15,Mom and Pop Store,
Guanajuato,León,2007,1,15,Mom and Pop Store,8.8
Guerrero,Acapulco,2007,1,15,Mom and Pop Store,10.4
Guerrero,Chilpancingo,2007,1,15,Mom and Pop Store,
Hidalgo,Pachuca,2007,1,15,Mom and Pop Store,9.0
Jalisco,Guadalajara,2007,1,15,Mom and Pop Store,9.6
Jalisco,ZM Guadalajara,2007,1,15,Mom and Pop Store,
Edo. México,Toluca,2007,1,15,Mom and Pop Store,8.3
Michoacán,Morelia,2007,1,15,Mom and Pop Store,8.0
Morelos,Cuernavaca,2007,1,15,Mom and Pop Store,10.75
Nayarit,Tepic,2007,1,15,Mom and Pop Store,10.0
Nuevo León,Monterrey,2007,1,15,Mom and Pop Store,9.7
Nuevo León,ZM Monterrey,2007,1,15,Mom and Pop Store,
Oaxaca,Oaxaca,2007,1,15,Mom and Pop Store,8.2
Puebla,Puebla,2007,1,15,Mom and Pop Store,9.0
Puebla,ZM Puebla,2007,1,15,Mom and Pop Store,
Querétaro,Querétaro,2007,1,15,Mom and Pop Store,9.0
Quintana Roo,Cancún,2007,1,15,Mom and Pop Store,9.8
Quintana Roo,Chetumal,2007,1,15,Mom and Pop Store,11.8
San Luis Potosí,San Luis Potosí,2007,1,15,Mom and Pop Store,8.9
Sinaloa,Culiacán,2007,1,15,Mom and Pop Store,9.0
Sonora,Cd. Obregón,2007,1,15,Mom and Pop Store,11.6
Sonora,Hermosillo,2007,1,15,Mom and Pop Store,11.4
Sonora,Nogales,2007,1,15,Mom and Pop Store,
Tabasco,Villahermosa,2007,1,15,Mom and Pop Store,11.5
Tamaulipas,Cd. Victoria,2007,1,15,Mom and Pop Store,8.6
Tamaulipas,Matamoros,2007,1,15,Mom and Pop Store,9.8
Tamaulipas,Nuevo Laredo,2007,1,15,Mom and Pop Store,9.4
Tamaulipas,Reynosa,2007,1,15,Mom and Pop Store,9.6
Tamaulipas,Tampico,2007,1,15,Mom and Pop Store,
Tlaxcala,Tlaxcala,2007,1,15,Mom and Pop Store,8.4
Veracruz,Coatzacoalcos,2007,1,15,Mom and Pop Store,9.8
Veracruz,Poza Rica,2007,1,15,Mom and Pop Store,9.5
Veracruz,Veracruz,2007,1,15,Mom and Pop Store,9.4
Veracruz,Xalapa,2007,1,15,Mom and Pop Store,8.6
Yucatán,Mérida,2007,1,15,Mom and Pop Store,9.4
Zacatecas,Zacatecas,2007,1,15,Mom and Pop Store,8.0
Aguascalientes,Aguascalientes,2007,1,16,Mom and Pop Store,9.9
Baja California,Mexicali,2007,1,16,Mom and Pop Store,
Baja California,Tijuana,2007,1,16,Mom and Pop Store,10.0
Baja California Sur,La Paz,2007,1,16,Mom and Pop Store,10.0
Campeche,Campeche,2007,1,16,Mom and Pop Store,10.0
Coahuila,Piedras Negras,2007,1,16,Mom and Pop Store,10.0
Coahuila,Saltillo,2007,1,16,Mom and Pop Store,
Colima,Colima,2007,1,16,Mom and Pop Store,9.8
Chiapas,Tapachula,2007,1,16,Mom and Pop Store,
Chiapas,Tuxtla Gutiérrez,2007,1,16,Mom and Pop Store,9.2
Chihuahua,Chihuahua,2007,1,16,Mom and Pop Store,9.8
Chihuahua,Cd. Juárez,2007,1,16,Mom and Pop Store,
D.F.,D.F.,2007,1,16,Mom and Pop Store,9.2
D.F.,ZM D.F.,2007,1,16,Mom and Pop Store,7.6
Durango,Durango,2007,1,16,Mom and Pop Store,7.5
Durango,Gómez Palacio,2007,1,16,Mom and Pop Store,
Guanajuato,Irapuato,2007,1,16,Mom and Pop Store,
Guanajuato,León,2007,1,16,Mom and Pop Store,8.8
Guerrero,Acapulco,2007,1,16,Mom and Pop Store,10.4
Guerrero,Chilpancingo,2007,1,16,Mom and Pop Store,
Hidalgo,Pachuca,2007,1,16,Mom and Pop Store,9.0
Jalisco,Guadalajara,2007,1,16,Mom and Pop Store,9.4
Jalisco,ZM Guadalajara,2007,1,16,Mom and Pop Store,
Edo. México,Toluca,2007,1,16,Mom and Pop Store,8.3
Michoacán,Morelia,2007,1,16,Mom and Pop Store,8.2
Morelos,Cuernavaca,2007,1,16,Mom and Pop Store,10.6
Nayarit,Tepic,2007,1,16,Mom and Pop Store,10.0
Nuevo León,Monterrey,2007,1,16,Mom and Pop Store,9.7
Nuevo León,ZM Monterrey,2007,1,16,Mom and Pop Store,
Oaxaca,Oaxaca,2007,1,16,Mom and Pop Store,8.3
Puebla,Puebla,2007,1,16,Mom and Pop Store,9.0
Puebla,ZM Puebla,2007,1,16,Mom and Pop Store,
Querétaro,Querétaro,2007,1,16,Mom and Pop Store,9.0
Quintana Roo,Cancún,2007,1,16,Mom and Pop Store,9.8
Quintana Roo,Chetumal,2007,1,16,Mom and Pop Store,11.6
San Luis Potosí,San Luis Potosí,2007,1,16,Mom and Pop Store,8.8
Sinaloa,Culiacán,2007,1,16,Mom and Pop Store,9.0
Sonora,Cd. Obregón,2007,1,16,Mom and Pop Store,11.6
Sonora,Hermosillo,2007,1,16,Mom and Pop Store,11.4
Sonora,Nogales,2007,1,16,Mom and Pop Store,
Tabasco,Villahermosa,2007,1,16,Mom and Pop Store,11.7
Tamaulipas,Cd. Victoria,2007,1,16,Mom and Pop Store,8.6
Tamaulipas,Matamoros,2007,1,16,Mom and Pop Store,9.8
Tamaulipas,Nuevo Laredo,2007,1,16,Mom and Pop Store,9.8
Tamaulipas,Reynosa,2007,1,16,Mom and Pop Store,9.8
Tamaulipas,Tampico,2007,1,16,Mom and Pop Store,
Tlaxcala,Tlaxcala,2007,1,16,Mom and Pop Store,8.4
Veracruz,Coatzacoalcos,2007,1,16,Mom and Pop Store,9.8
Veracruz,Poza Rica,2007,1,16,Mom and Pop Store,9.3
Veracruz,Veracruz,2007,1,16,Mom and Pop Store,9.4
Veracruz,Xalapa,2007,1,16,Mom and Pop Store,8.6
Yucatán,Mérida,2007,1,16,Mom and Pop Store,9.8
Zacatecas,Zacatecas,2007,1,16,Mom and Pop Store,8.4
Aguascalientes,Aguascalientes,2007,1,17,Mom and Pop Store,9.9
Baja California,Mexicali,2007,1,17,Mom and Pop Store,
Baja California,Tijuana,2007,1,17,Mom and Pop Store,10.0
Baja California Sur,La Paz,2007,1,17,Mom and Pop Store,10.0
Campeche,Campeche,2007,1,17,Mom and Pop Store,10.0
Coahuila,Piedras Negras,2007,1,17,Mom and Pop Store,10.0
Coahuila,Saltillo,2007,1,17,Mom and Pop Store,
Colima,Colima,2007,1,17,Mom and Pop Store,9.6
Chiapas,Tapachula,2007,1,17,Mom and Pop Store,
Chiapas,Tuxtla Gutiérrez,2007,1,17,Mom and Pop Store,9.2
Chihuahua,Chihuahua,2007,1,17,Mom and Pop Store,9.8
Chihuahua,Cd. Juárez,2007,1,17,Mom and Pop Store,
D.F.,D.F.,2007,1,17,Mom and Pop Store,9.6
D.F.,ZM D.F.,2007,1,17,Mom and Pop Store,7.8
Durango,Durango,2007,1,17,Mom and Pop Store,7.5
Durango,Gómez Palacio,2007,1,17,Mom and Pop Store,
Guanajuato,Irapuato,2007,1,17,Mom and Pop Store,
Guanajuato,León,2007,1,17,Mom and Pop Store,9.4
Guerrero,Acapulco,2007,1,17,Mom and Pop Store,10.0
Guerrero,Chilpancingo,2007,1,17,Mom and Pop Store,
Hidalgo,Pachuca,2007,1,17,Mom and Pop Store,9.0
Jalisco,Guadalajara,2007,1,17,Mom and Pop Store,9.6
Jalisco,ZM Guadalajara,2007,1,17,Mom and Pop Store,
Edo. México,Toluca,2007,1,17,Mom and Pop Store,8.3
Michoacán,Morelia,2007,1,17,Mom and Pop Store,8.2
Morelos,Cuernavaca,2007,1,17,Mom and Pop Store,10.6
Nayarit,Tepic,2007,1,17,Mom and Pop Store,10.0
Nuevo León,Monterrey,2007,1,17,Mom and Pop Store,9.7
Nuevo León,ZM Monterrey,2007,1,17,Mom and Pop Store,
Oaxaca,Oaxaca,2007,1,17,Mom and Pop Store,8.3
Puebla,Puebla,2007,1,17,Mom and Pop Store,9.0
Puebla,ZM Puebla,2007,1,17,Mom and Pop Store,
Querétaro,Querétaro,2007,1,17,Mom and Pop Store,9.0
Quintana Roo,Cancún,2007,1,17,Mom and Pop Store,9.8
Quintana Roo,Chetumal,2007,1,17,Mom and Pop Store,11.6
San Luis Potosí,San Luis Potosí,2007,1,17,Mom and Pop Store,8.8
Sinaloa,Culiacán,2007,1,17,Mom and Pop Store,9.0
Sonora,Cd. Obregón,2007,1,17,Mom and Pop Store,11.2
Sonora,Hermosillo,2007,1,17,Mom and Pop Store,11.4
Sonora,Nogales,2007,1,17,Mom and Pop Store,
Tabasco,Villahermosa,2007,1,17,Mom and Pop Store,11.5
Tamaulipas,Cd. Victoria,2007,1,17,Mom and Pop Store,8.6
Tamaulipas,Matamoros,2007,1,17,Mom and Pop Store,9.8
Tamaulipas,Nuevo Laredo,2007,1,17,Mom and Pop Store,9.8
Tamaulipas,Reynosa,2007,1,17,Mom and Pop Store,10.6
Tamaulipas,Tampico,2007,1,17,Mom and Pop Store,
Tlaxcala,Tlaxcala,2007,1,17,Mom and Pop Store,8.8
Veracruz,Coatzacoalcos,2007,1,17,Mom and Pop Store,9.8
Veracruz,Poza Rica,2007,1,17,Mom and Pop Store,9.4
Veracruz,Veracruz,2007,1,17,Mom and Pop Store,9.4
Veracruz,Xalapa,2007,1,17,Mom and Pop Store,8.6
Yucatán,Mérida,2007,1,17,Mom and Pop Store,9.8
Zacatecas,Zacatecas,2007,1,17,Mom and Pop Store,8.4
Aguascalientes,Aguascalientes,2007,1,18,Mom and Pop Store,9.9
Baja California,Mexicali,2007,1,18,Mom and Pop Store,
Baja California,Tijuana,2007,1,18,Mom and Pop Store,10.2
Baja California Sur,La Paz,2007,1,18,Mom and Pop Store,10.0
Campeche,Campeche,2007,1,18,Mom and Pop Store,9.9
Coahuila,Piedras Negras,2007,1,18,Mom and Pop Store,10.0
Coahuila,Saltillo,2007,1,18,Mom and Pop Store,
Colima,Colima,2007,1,18,Mom and Pop Store,9.6
Chiapas,Tapachula,2007,1,18,Mom and Pop Store,
Chiapas,Tuxtla Gutiérrez,2007,1,18,Mom and Pop Store,9.2
Chihuahua,Chihuahua,2007,1,18,Mom and Pop Store,9.8
Chihuahua,Cd. Juárez,2007,1,18,Mom and Pop Store,
D.F.,D.F.,2007,1,18,Mom and Pop Store,9.6
D.F.,ZM D.F.,2007,1,18,Mom and Pop Store,7.8
Durango,Durango,2007,1,18,Mom and Pop Store,7.5
Durango,Gómez Palacio,2007,1,18,Mom and Pop Store,
Guanajuato,Irapuato,2007,1,18,Mom and Pop Store,
Guanajuato,León,2007,1,18,Mom and Pop Store,9.4
Guerrero,Acapulco,2007,1,18,Mom and Pop Store,10.0
Guerrero,Chilpancingo,2007,1,18,Mom and Pop Store,
Hidalgo,Pachuca,2007,1,18,Mom and Pop Store,9.0
Jalisco,Guadalajara,2007,1,18,Mom and Pop Store,9.4
Jalisco,ZM Guadalajara,2007,1,18,Mom and Pop Store,
Edo. México,Toluca,2007,1,18,Mom and Pop Store,8.3
Michoacán,Morelia,2007,1,18,Mom and Pop Store,8.0
Morelos,Cuernavaca,2007,1,18,Mom and Pop Store,10.6
Nayarit,Tepic,2007,1,18,Mom and Pop Store,10.0
Nuevo León,Monterrey,2007,1,18,Mom and Pop Store,9.7
Nuevo León,ZM Monterrey,2007,1,18,Mom and Pop Store,
Oaxaca,Oaxaca,2007,1,18,Mom and Pop Store,8.3
Puebla,Puebla,2007,1,18,Mom and Pop Store,9.0
Puebla,ZM Puebla,2007,1,18,Mom and Pop Store,
Querétaro,Querétaro,2007,1,18,Mom and Pop Store,9.0
Quintana Roo,Cancún,2007,1,18,Mom and Pop Store,9.8
Quintana Roo,Chetumal,2007,1,18,Mom and Pop Store,11.4
San Luis Potosí,San Luis Potosí,2007,1,18,Mom and Pop Store,8.8
Sinaloa,Culiacán,2007,1,18,Mom and Pop Store,9.0
Sonora,Cd. Obregón,2007,1,18,Mom and Pop Store,11.6
Sonora,Hermosillo,2007,1,18,Mom and Pop Store,11.4
Sonora,Nogales,2007,1,18,Mom and Pop Store,
Tabasco,Villahermosa,2007,1,18,Mom and Pop Store,11.4
Tamaulipas,Cd. Victoria,2007,1,18,Mom and Pop Store,8.6
Tamaulipas,Matamoros,2007,1,18,Mom and Pop Store,9.8
Tamaulipas,Nuevo Laredo,2007,1,18,Mom and Pop Store,9.8
Tamaulipas,Reynosa,2007,1,18,Mom and Pop Store,10.6
Tamaulipas,Tampico,2007,1,18,Mom and Pop Store,
Tlaxcala,Tlaxcala,2007,1,18,Mom and Pop Store,8.6
Veracruz,Coatzacoalcos,2007,1,18,Mom and Pop Store,9.8
Veracruz,Poza Rica,2007,1,18,Mom and Pop Store,9.8
Veracruz,Veracruz,2007,1,18,Mom and Pop Store,9.4
Veracruz,Xalapa,2007,1,18,Mom and Pop Store,8.6
Yucatán,Mérida,2007,1,18,Mom and Pop Store,9.6
Zacatecas,Zacatecas,2007,1,18,Mom and Pop Store,8.4
Aguascalientes,Aguascalientes,2007,1,19,Mom and Pop Store,9.9
Baja California,Mexicali,2007,1,19,Mom and Pop Store,
Baja California,Tijuana,2007,1,19,Mom and Pop Store,10.2
Baja California Sur,La Paz,2007,1,19,Mom and Pop Store,10.0
Campeche,Campeche,2007,1,19,Mom and Pop Store,9.9
